名称,纬度,经度,分类,价格,建议时段,上午,下午,晚上,室内可避雨,登高观景,交通,距酒店km,步行分钟,说明,官网,坐标来源
🏨 汉庭酒店(广西路),36.06344,120.31192,🏨 住宿基点,老城步行圈,老城步行圈,,,,✓,,老城步行圈,0.0,,今天的起点和终点。位置很好：走到海边看栈桥 4 分钟，去青岛站坐地铁 6 分钟，老城景点大多能走着去。,,OSM实测
栈桥 · 回澜阁,36.06197,120.31438,⭐ 地标打卡,免费,24 小时开放,✓,✓,✓,,,老城步行圈｜青岛站 5 分钟,0.27,4,青岛的名片，1892 年就有了，一条石桥直伸进海里。白天人挤人，清晨 7 点前和天黑后灯亮起来时最好看。桥面湿滑，浪大时别走到尽头。,,OSM实测
小青岛 · 白塔灯塔,36.0528,120.31874,⭐ 地标打卡,约 10-15 元,约 8:00-18:00,✓,✓,,,,老城步行圈｜地铁中山路站,1.33,18,海上那座小岛，德国人 1900 年建的白灯塔还在用。岛不大，半小时够逛，胜在能回头看整片老城的红屋顶。,https://www.qingdaochina.org,OSM实测
五四广场 · 五月的风,36.06442,120.37544,⭐ 地标打卡,免费,24 小时｜灯光秀约 20:00,✓,✓,✓,,,地铁 3 号线五四广场站,5.71,,那座红色螺旋雕塑就是青岛的城市符号。白天是个开阔的海边广场，真正的看点在晚上——8 点整对面高楼一起亮灯做灯光秀，免费，很震撼。,,OSM实测
奥帆中心 · 情人坝,36.0557,120.39114,⭐ 地标打卡,免费｜帆船 160-380 元,全天｜日落时最美,✓,✓,✓,,,地铁 3 号线五四广场站,7.17,,2008 年奥运会帆船比赛就在这片海。沿着堤坝走到白灯塔，两旁是酒吧和咖啡馆。想出海的话这里有帆船体验，一小时 160-380 元，风浪大或有雾会停航。,,OSM实测
八大关 · 花石楼,36.04999,120.3484,⭐ 地标打卡,街区免费｜花石楼约 8-20 元,街区全天｜花石楼白天,✓,✓,✓,,,地铁 3 号线太平角公园站,3.6,,十条以关口命名的路，两旁全是各国风格的老别墅，梧桐遮天。花石楼是海边那座石头城堡，能上顶层看海。街区免费随便逛，进花石楼要票。夏天这里比市区凉快。,,OSM实测
大学路 · 红墙转角,36.06397,120.32999,⭐ 地标打卡,免费,全天｜清晨最清净,✓,✓,✓,,,老城步行圈｜地铁人民会堂站,1.63,22,网红打卡点——黄色院墙和红色院墙的转角。说实话就是个墙角，但配上梧桐确实好看。9 点后排队拍照的人能排出去几十米，想拍照就 8 点前来。周边咖啡馆和名人故居值得慢慢逛。,,OSM实测
圣弥厄尔天主教堂,36.06801,120.31565,🏛 历史建筑 / 博物馆,约 10-15 元,约 8:00-17:00,✓,✓,,✓,,老城步行圈｜青岛站 8 分钟,0.61,8,老城最显眼的建筑，德国人 1934 年建的双塔哥特式教堂。里面挑高很足、彩窗漂亮，夏天进去很凉快。周日上午有弥撒，可以旁听但不便参观。门口常年有人拍婚纱。,,OSM实测
江苏路基督教堂,36.06503,120.32312,🏛 历史建筑 / 博物馆,约 10-15 元,约 8:00-17:00,✓,✓,,✓,,老城步行圈｜地铁人民会堂站,1.02,14,1910 年的德式小教堂，像座石头城堡。最值得的是能爬上钟楼，看百年机械钟的齿轮到现在还在走，顶上还能俯瞰老城。人比天主教堂少。,,OSM实测
德国总督楼旧址(迎宾馆),36.06475,120.32793,🏛 历史建筑 / 博物馆,约 30-60 元,约 8:30-17:00,✓,✓,,✓,,地铁人民会堂站 / 打车,1.45,19,1907 年德国总督的官邸，欧洲城堡样式，里面的家具、壁炉、钢琴都是原装的。讲解牌信息量大，看完能明白青岛这段殖民史。下雨天的首选。,http://www.qddgzdl.com,OSM实测
